benchmark,implementation,compiler,mean,std,min,max,repetitions,
backprop,js,browserify,1.7117,0.0177,1.6851,1.7496,30,
backprop,c,wasm,0.7635,0.0099,0.7500,0.7930,30,
lud,js,browserify,1.1933,0.0660,1.1300,1.4780,30,
lud,c,wasm,0.7420,0.0652,0.6930,1.0220,30,
bfs,js,browserify,0.2154,0.0050,0.2119,0.2328,30,
bfs,cpp,wasm,0.1102,0.0018,0.1080,0.1160,30,
crc,js,browserify,2.5821,0.0318,2.5515,2.6758,30,
crc,c,wasm,1.0372,0.0126,1.0130,1.0670,30,
fft,js,browserify,1.6278,0.0260,1.6024,1.7128,30,
fft,c,wasm,0.8628,0.0279,0.8210,0.9590,30,
hmm,js,browserify,4.1518,0.0702,4.0194,4.4509,90,
hmm,c,wasm,1.9910,0.0462,1.8740,2.1470,31,
lavamd,js,browserify,1.2316,0.0154,1.2102,1.2648,30,
lavamd,c,wasm,1.3826,0.0432,1.2740,1.4960,30,
nqueens,js,browserify,5.6643,0.1832,5.3630,6.3180,30,
nqueens,c,wasm,3.6386,0.0653,3.5690,3.8010,30,
nw,js,browserify,0.8966,0.0183,0.8660,0.9476,30,
nw,c,wasm,0.7355,0.0222,0.6320,0.7620,30,
pagerank,js,browserify,0.4001,0.0148,0.3858,0.4332,30,
pagerank,c,wasm,0.2919,0.0123,0.2500,0.3270,30,
spmv,js,browserify,1.3705,0.0280,1.3312,1.4346,30,
spmv,c,wasm,0.9242,0.0386,0.8990,1.0860,30,
srad,c,wasm,3.5365,0.0674,3.4730,3.7650,30,
srad,js,browserify,7.3579,0.1458,7.1386,7.6458,30,