benchmark,implementation,compiler,mean,std,min,max,repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
lud,js,browserify,1.2311,0.0459,1.1870,1.3290,10,1.2610,1.2820,1.2330,1.3290,1.1940,1.2140,1.1870,1.2050,1.2030,1.2030
lud,c,wasm,0.8495,0.1167,0.7990,1.1810,10,0.8120,0.8210,0.7990,0.8180,0.8150,0.8170,1.1810,0.8020,0.8150,0.8150
bfs,js,browserify,0.2757,0.0017,0.2718,0.2781,10,0.2759,0.2766,0.2754,0.2718,0.2743,0.2761,0.2767,0.2770,0.2755,0.2781
crc,js,browserify,0.9827,0.0300,0.9053,1.0232,10,0.9826,0.9881,0.9987,0.9961,0.9820,0.9053,0.9850,1.0232,0.9832,0.9827
bfs,cpp,wasm,0.1496,0.0020,0.1480,0.1550,10,0.1490,0.1490,0.1490,0.1490,0.1490,0.1550,0.1490,0.1500,0.1480,0.1490
crc,c,wasm,1.2013,0.0137,1.1880,1.2250,10,1.2000,1.1900,1.1880,1.1890,1.2250,1.1890,1.2240,1.2020,1.2030,1.2030
fft,js,browserify,4.9922,0.0794,4.9002,5.1127,10,5.0587,4.9002,4.9577,5.1127,5.1050,4.9150,4.9150,4.9553,5.0319,4.9703
fft,c,wasm,1.0798,0.0366,1.0420,1.1670,10,1.1170,1.0720,1.0650,1.1670,1.0630,1.0420,1.0630,1.0680,1.0860,1.0550
hmm,js,browserify,4.0027,0.0188,3.9736,4.0314,10,3.9736,4.0086,4.0058,3.9761,4.0059,4.0156,4.0168,4.0095,3.9839,4.0314
hmm,c,wasm,2.4696,0.0818,2.4240,2.6980,10,2.4800,2.4520,2.4240,2.4580,2.4360,2.4330,2.6980,2.4420,2.4410,2.4320
lavamd,c,wasm,1.3137,0.0221,1.2870,1.3580,10,1.3010,1.3580,1.2870,1.3480,1.3160,1.3080,1.3080,1.3010,1.3020,1.3080
lavamd,js,browserify,1.6998,0.0728,1.6596,1.8891,10,1.6645,1.6633,1.6692,1.6599,1.6864,1.7585,1.6596,1.8891,1.6803,1.6672
nqueens,c,wasm,3.9922,0.0617,3.9520,4.1550,10,3.9960,4.0290,3.9590,3.9780,3.9710,3.9550,4.1550,3.9590,3.9520,3.9680
nqueens,js,browserify,6.0809,0.0218,6.0450,6.1270,10,6.0450,6.0930,6.0880,6.0810,6.0640,6.0710,6.1270,6.0910,6.0820,6.0670
nw,js,browserify,0.2573,0.0058,0.2517,0.2684,10,0.2564,0.2548,0.2583,0.2517,0.2684,0.2584,0.2549,0.2662,0.2525,0.2519
pagerank,js,browserify,0.8708,0.0033,0.8656,0.8776,10,0.8776,0.8695,0.8722,0.8656,0.8710,0.8696,0.8710,0.8722,0.8672,0.8723
pagerank,c,wasm,0.7809,0.0049,0.7780,0.7940,10,0.7820,0.7940,0.7780,0.7780,0.7780,0.7820,0.7790,0.7800,0.7800,0.7780
spmv,js,browserify,23.5353,0.1895,23.4073,24.0321,10,23.4878,23.6446,23.5140,24.0321,23.4938,23.4095,23.5296,23.4183,23.4073,23.4163
spmv,c,wasm,0.9746,0.0150,0.9640,1.0160,10,0.9720,0.9650,0.9730,0.9710,0.9640,0.9740,1.0160,0.9660,0.9720,0.9730
srad,js,browserify,7.1341,0.1670,7.0334,7.5286,10,7.0594,7.3515,7.0334,7.0769,7.0756,7.0502,7.5286,7.0521,7.0552,7.0580
srad,c,wasm,3.7024,0.0208,3.6580,3.7370,10,3.7050,3.7080,3.7070,3.7160,3.7370,3.7050,3.6810,3.7030,3.7040,3.6580
backprop,js,browserify,0.7608,0.0270,0.7330,0.8296,20,0.7351,0.7406,0.7362,0.7330,0.7407,0.7481,0.7435,0.7340,0.7387,0.7343
nw,c,wasm,0.1556,0.0111,0.1450,0.1760,10,0.1480,0.1460,0.1460,0.1470,0.1550,0.1480,0.1470,0.1450,0.1470,0.1470
backprop,c,wasm,0.4219,0.0015,0.4200,0.4250,10,0.4220,0.4230,0.4250,0.4210,0.4200,0.4220,0.4220,0.4210,0.4230,0.4200